batch 132, moves 392, time 26.01, time per move 0.07, skipped 256, processed 32749, avg_loss: 3.0960
batch 134, moves 288, time 26.66, time per move 0.09, skipped 258, processed 33247, avg_loss: 3.1426
batch 136, moves 381, time 25.59, time per move 0.07, skipped 261, processed 33744, avg_loss: 3.1329
batch 138, moves 528, time 26.03, time per move 0.05, skipped 265, processed 34240, avg_loss: 3.1049
batch 140, moves 205, time 27.01, time per move 0.13, skipped 267, processed 34738, avg_loss: 3.1192
batch 142, moves 324, time 25.91, time per move 0.08, skipped 271, processed 35234, avg_loss: 3.0940
batch 144, moves 287, time 26.02, time per move 0.09, skipped 275, processed 35730, avg_loss: 3.0421
batch 146, moves 381, time 25.67, time per move 0.07, skipped 281, processed 36224, avg_loss: 3.0418
batch 148, moves 212, time 25.95, time per move 0.12, skipped 284, processed 36721, avg_loss: 3.0437
batch 150, moves 264, time 29.33, time per move 0.11, skipped 289, processed 37216, avg_loss: 3.0474
batch 152, moves 372, time 31.05, time per move 0.08, skipped 291, processed 37714, avg_loss: 3.1193
batch 154, moves 355, time 27.01, time per move 0.08, skipped 294, processed 38211, avg_loss: 3.0260
batch 156, moves 505, time 27.26, time per move 0.05, skipped 296, processed 38709, avg_loss: 3.0552
batch 158, moves 330, time 25.78, time per move 0.08, skipped 298, processed 39207, avg_loss: 3.0114
batch 160, moves 265, time 27.33, time per move 0.10, skipped 300, processed 39705, avg_loss: 3.0434
batch 162, moves 389, time 25.67, time per move 0.07, skipped 305, processed 40200, avg_loss: 2.9944
batch 164, moves 173, time 26.77, time per move 0.15, skipped 308, processed 40697, avg_loss: 3.0142
batch 166, moves 332, time 28.17, time per move 0.08, skipped 310, processed 41195, avg_loss: 3.0064
batch 168, moves 329, time 28.88, time per move 0.09, skipped 315, processed 41690, avg_loss: 2.9639
batch 170, moves 225, time 27.95, time per move 0.12, skipped 318, processed 42187, avg_loss: 2.9717
batch 172, moves 294, time 30.68, time per move 0.10, skipped 322, processed 42683, avg_loss: 2.9986
batch 174, moves 299, time 35.77, time per move 0.12, skipped 326, processed 43179, avg_loss: 2.9228
batch 176, moves 374, time 26.78, time per move 0.07, skipped 327, processed 43678, avg_loss: 2.9642
batch 178, moves 420, time 25.35, time per move 0.06, skipped 330, processed 44175, avg_loss: 3.0259
batch 180, moves 459, time 26.03, time per move 0.06, skipped 332, processed 44673, avg_loss: 2.9528
batch 182, moves 438, time 26.77, time per move 0.06, skipped 336, processed 45169, avg_loss: 2.9725
batch 184, moves 323, time 26.37, time per move 0.08, skipped 340, processed 45665, avg_loss: 2.9485
batch 186, moves 537, time 25.68, time per move 0.05, skipped 340, processed 46165, avg_loss: 2.8960
batch 188, moves 310, time 31.59, time per move 0.10, skipped 341, processed 46664, avg_loss: 2.9153
batch 190, moves 210, time 28.59, time per move 0.14, skipped 343, processed 47162, avg_loss: 2.9600
batch 192, moves 202, time 25.63, time per move 0.13, skipped 345, processed 47660, avg_loss: 2.9412
batch 194, moves 309, time 27.98, time per move 0.09, skipped 347, processed 48158, avg_loss: 2.8947
batch 196, moves 272, time 27.40, time per move 0.10, skipped 350, processed 48655, avg_loss: 2.9182
batch 198, moves 313, time 25.18, time per move 0.08, skipped 352, processed 49153, avg_loss: 2.8953
batch 200, moves 286, time 27.50, time per move 0.10, skipped 355, processed 49650, avg_loss: 2.8801
batch 202, moves 280, time 27.37, time per move 0.10, skipped 356, processed 50149, avg_loss: 2.9247
batch 204, moves 449, time 27.09, time per move 0.06, skipped 358, processed 50647, avg_loss: 2.9176
batch 206, moves 429, time 27.85, time per move 0.06, skipped 362, processed 51143, avg_loss: 2.8437
batch 208, moves 333, time 27.01, time per move 0.08, skipped 366, processed 51639, avg_loss: 2.8756
batch 210, moves 420, time 27.72, time per move 0.07, skipped 368, processed 52137, avg_loss: 2.8831
batch 212, moves 312, time 28.04, time per move 0.09, skipped 372, processed 52633, avg_loss: 2.8895
batch 214, moves 223, time 31.95, time per move 0.14, skipped 374, processed 53131, avg_loss: 2.8919
batch 216, moves 319, time 30.58, time per move 0.10, skipped 379, processed 53626, avg_loss: 2.8697
batch 218, moves 269, time 28.37, time per move 0.11, skipped 381, processed 54124, avg_loss: 2.8393
batch 220, moves 286, time 29.37, time per move 0.10, skipped 385, processed 54620, avg_loss: 2.8984
batch 222, moves 295, time 32.16, time per move 0.11, skipped 389, processed 55116, avg_loss: 2.8582
batch 224, moves 287, time 27.62, time per move 0.10, skipped 392, processed 55613, avg_loss: 2.8392
batch 226, moves 325, time 26.31, time per move 0.08, skipped 397, processed 56108, avg_loss: 2.8491
batch 228, moves 300, time 26.04, time per move 0.09, skipped 399, processed 56606, avg_loss: 2.8903
batch 230, moves 399, time 24.78, time per move 0.06, skipped 405, processed 57100, avg_loss: 2.8188
batch 232, moves 328, time 25.85, time per move 0.08, skipped 410, processed 57595, avg_loss: 2.8711
batch 234, moves 270, time 25.01, time per move 0.09, skipped 411, processed 58094, avg_loss: 2.8197
batch 236, moves 324, time 24.24, time per move 0.07, skipped 419, processed 58586, avg_loss: 2.8464
batch 238, moves 356, time 24.80, time per move 0.07, skipped 422, processed 59083, avg_loss: 2.8185
batch 240, moves 296, time 24.79, time per move 0.08, skipped 427, processed 59578, avg_loss: 2.8320
batch 242, moves 414, time 24.32, time per move 0.06, skipped 431, processed 60074, avg_loss: 2.7902
batch 244, moves 348, time 25.13, time per move 0.07, skipped 433, processed 60572, avg_loss: 2.8148
batch 246, moves 356, time 25.08, time per move 0.07, skipped 435, processed 61070, avg_loss: 2.8499
batch 248, moves 255, time 25.07, time per move 0.10, skipped 436, processed 61569, avg_loss: 2.8062
batch 250, moves 455, time 25.26, time per move 0.06, skipped 441, processed 62064, avg_loss: 2.8403
batch 252, moves 323, time 24.90, time per move 0.08, skipped 446, processed 62559, avg_loss: 2.8013
batch 254, moves 327, time 24.51, time per move 0.07, skipped 450, processed 63055, avg_loss: 2.8393
batch 256, moves 310, time 25.06, time per move 0.08, skipped 451, processed 63554, avg_loss: 2.7649
batch 258, moves 293, time 24.68, time per move 0.08, skipped 456, processed 64049, avg_loss: 2.7464
batch 260, moves 354, time 24.05, time per move 0.07, skipped 458, processed 64547, avg_loss: 2.7905
batch 262, moves 387, time 24.58, time per move 0.06, skipped 464, processed 65041, avg_loss: 2.8274
batch 264, moves 260, time 24.42, time per move 0.09, skipped 468, processed 65537, avg_loss: 2.7983
batch 266, moves 364, time 25.25, time per move 0.07, skipped 473, processed 66032, avg_loss: 2.7696
batch 268, moves 464, time 24.98, time per move 0.05, skipped 475, processed 66530, avg_loss: 2.7707
batch 270, moves 342, time 25.62, time per move 0.07, skipped 475, processed 67030, avg_loss: 2.8112
batch 272, moves 238, time 24.28, time per move 0.10, skipped 478, processed 67527, avg_loss: 2.7970
batch 274, moves 339, time 25.00, time per move 0.07, skipped 480, processed 68025, avg_loss: 2.7327
